in_file,out_file,in_size,out_size,converted_time,cpu,memory,read_speed,write_speed,,,,
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.mzML,1541946608,1749316649,132.6510233,203.75,1022.505859,0,0.405699699,,1.629178085,132.6510233,LFQ_Orbitrap_AIF_Yeast_01.mzML
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.mzXML,1541946608,836317374,68.8197453,316.9,924.6640625,0,0.271776179,,0.77888125,68.8197453,LFQ_Orbitrap_AIF_Yeast_01.mzXML
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.mz5,1541946608,537834156,58.3981533,300.2,1559.148438,1.33E-05,0.188176305,,0.500897091,58.3981533,LFQ_Orbitrap_AIF_Yeast_01.mz5
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.mzMLb,1541946608,222019819,136.3133695,,,,,,0.206772069,136.3133695,LFQ_Orbitrap_AIF_Yeast_01.mzMLb
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.mzML,3228500047,2331257862,357.694024,173.26,843.2583333,0,0.677686091,,2.171153074,357.694024,LFQ_Orbitrap_DDA_Ecoli_01.mzML
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.mzXML,3228500047,4605703243,661.4363816,139.2,215.3515625,0,0.423373505,,4.289395402,661.4363816,LFQ_Orbitrap_DDA_Ecoli_01.mzXML
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.mz5,3228500047,3073611078,256.1760789,192.5272727,1162.300781,3.09E-07,1.18513674,,2.862523383,256.1760789,LFQ_Orbitrap_DDA_Ecoli_01.mz5
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.mzMLb,3228500047,1118359852,395.7259055,154.9117647,764.9820772,2.00E-07,0.287581155,,1.041553777,395.7259055,LFQ_Orbitrap_DDA_Ecoli_01.mzMLb
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.mzML,131072,33434123072,3005.558049,262.325,169.6376953,2.577489867,0.550407862,,31.13795358,3005.558049,LFQ_timsTOFPro_diaPASEF_Human_01.mzML
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.mzXML,131072,35663852471,6048.586337,353.6,185.5100836,7.92E-08,0.595554661,,33.2145509,6048.586337,LFQ_timsTOFPro_diaPASEF_Human_01.mzXML
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.mz5,131072,27032847991,1152.536201,,,,,,25.17630159,1152.536201,LFQ_timsTOFPro_diaPASEF_Human_01.mz5
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.mzMLb,131072,7978118111,2387.068881,381.5967033,198.0052799,6.73E-07,0.344394809,,7.4302015,2387.068881,LFQ_timsTOFPro_diaPASEF_Human_01.mzMLb
LFQ_TTOF5600_DDA_Yeast_01.wiff,LFQ_TTOF5600_DDA_Yeast_01.mzML,10203136,969144804,254.3033326,133.13,121.6183594,3.40E-07,0.404098674,,0.902586434,254.3033326,LFQ_TTOF5600_DDA_Yeast_01.mzML
LFQ_TTOF5600_DDA_Yeast_01.wiff,LFQ_TTOF5600_DDA_Yeast_01.mzXML,10203136,1833316874,454.9155297,123.8,63.703125,6.81E-06,0.074612141,,1.707409391,454.9155297,LFQ_TTOF5600_DDA_Yeast_01.mzXML
LFQ_TTOF5600_DDA_Yeast_01.wiff,LFQ_TTOF5600_DDA_Yeast_01.mz5,10203136,1082422370,274.3611087,121.7181818,188.9058949,3.09E-07,0.412413381,,1.008084388,274.3611087,LFQ_TTOF5600_DDA_Yeast_01.mz5
LFQ_TTOF5600_DDA_Yeast_01.wiff,LFQ_TTOF5600_DDA_Yeast_01.mzMLb,10203136,197802384,249.7752591,,,,,,0.184217826,249.7752591,LFQ_TTOF5600_DDA_Yeast_01.mzMLb
LFQ_TTOF5600_SWATH_Human_01.wiff,LFQ_TTOF5600_SWATH_Human_01.mzML,16654336,6711804016,1335.514062,141.8965517,253.2470366,7.04E-07,0.494907947,,6.250854596,1335.514062,LFQ_TTOF5600_SWATH_Human_01.mzML
LFQ_TTOF5600_SWATH_Human_01.wiff,LFQ_TTOF5600_SWATH_Human_01.mzXML,16654336,11389427363,2480.380362,131.9666667,238.7141276,1.70E-07,0.461938045,,10.60723082,2480.380362,LFQ_TTOF5600_SWATH_Human_01.mzXML
LFQ_TTOF5600_SWATH_Human_01.wiff,LFQ_TTOF5600_SWATH_Human_01.mz5,16654336,7210708879,1501.789729,130.8517241,376.140625,2.35E-07,0.500414199,,6.715495958,1501.789729,LFQ_TTOF5600_SWATH_Human_01.mz5
