in_file,out_file,in_size,out_size,converted_time,cpu,memory,read_speed,write_speed,,,
W-RB4W_D17PrPzF_BE_S1_L001_R1.fastq,W-RB4W_D17PrPzF_BE_S1_L001_R1.omg-json,34192316662,6037324507,624.1780321,3718.064286,54.90541295,1.781196173,1.308024392,,31.84407639,5.622696604
W-RB4W_D17PrPzF_BE_S1_L001_R1.fastq,W-RB4W_D17PrPzF_BE_S1_L001_R1.omg-yaml,34192316662,6012176850,635.034082,3458.87,59.70898438,0,1.288734036,,31.84407639,5.599276023
W-RB4W_D17PrPzF_BE_S1_L001_R1.fastq,W-RB4W_D17PrPzF_BE_S1_L001_R1.omg-binary,34192316662,4510520560,629.3130315,3701.125,45.11783854,0,0.96622878,,31.84407639,4.200749621
W-RB4W_D17PrPzF_BE_S1_L001_R2.fastq,W-RB4W_D17PrPzF_BE_S1_L001_R2.omg-json,53355945078,14791659762,770.6899754,3455.533333,51.85026042,2.269681912,2.566764217,,49.69159614,13.77580665
W-RB4W_D17PrPzF_BE_S1_L001_R2.fastq,W-RB4W_D17PrPzF_BE_S1_L001_R2.omg-yaml,53355945078,14766512105,749.7801321,3454.1,58.6171875,2.272863987,2.508528033,,49.69159614,13.75238607
W-RB4W_D17PrPzF_BE_S1_L001_R2.fastq,W-RB4W_D17PrPzF_BE_S1_L001_R2.omg-binary,53355945078,11076818395,750.4677125,3469.966667,60.11197917,2.281522518,1.877597536,,49.69159614,10.31609103
W-RB54_D17PrPzF_LE_S1_L001_R1.fastq,W-RB54_D17PrPzF_LE_S1_L001_R1.omg-json,14004606246,2468019121,257.9442119,3645.509091,56.25142045,1.757155741,1.276397164,,13.04280595,2.298521922
W-RB54_D17PrPzF_LE_S1_L001_R1.fastq,W-RB54_D17PrPzF_LE_S1_L001_R1.omg-yaml,14004606246,2457719020,250.6338569,3722.3,37.31640625,0,1.272385531,,13.04280595,2.288929205
W-RB54_D17PrPzF_LE_S1_L001_R1.fastq,W-RB54_D17PrPzF_LE_S1_L001_R1.omg-binary,14004606246,1844223163,260.5556386,3478.590909,52.66690341,0,0.935551425,,13.04280595,1.717566664
W-RB54_D17PrPzF_LE_S1_L001_R2.fastq,W-RB54_D17PrPzF_LE_S1_L001_R2.omg-json,21853707686,6067275721,314.5459049,3474.723077,68.78846154,2.259293441,2.641105841,,20.35285131,5.650590845
W-RB54_D17PrPzF_LE_S1_L001_R2.fastq,W-RB54_D17PrPzF_LE_S1_L001_R2.omg-yaml,21853707686,6056975620,310.1057457,3503.961538,56.06219952,0,2.630194283,,20.35285131,5.640998129
W-RB54_D17PrPzF_LE_S1_L001_R2.fastq,W-RB54_D17PrPzF_LE_S1_L001_R2.omg-binary,21853707686,4543890975,298.6236856,3727.5,49.20507813,0,1.869219142,,20.35285131,4.231828242
W-RB58_D17PrPzF_OE_S1_L001_R1.fastq,W-RB58_D17PrPzF_OE_S1_L001_R1.omg-json,17135880240,2988425449,311.4336115,3710.838462,52.84194712,1.776866826,1.271813658,,15.9590321,2.783188083
