in_file,out_file,in_size,out_size,converted_time,cpu,memory,read_speed,write_speed,,,,
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.omg-json,22818429084,19779400334,1839.468111,,,,,18.42100204,1839.468111,LFQ_timsTOFPro_diaPASEF_Human_01.omg-json,21.25 
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.omg-yaml,22818429084,19772370992,1836.658113,3608.55,93.796875,0.034605284,0.550512415,18.41445546,1836.658113,LFQ_timsTOFPro_diaPASEF_Human_01.omg-yaml,21.25 
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.omg-binary,22818429084,14817156114,1854.003402,3647.7,104.521875,0.031399133,0.517919521,13.79955198,1854.003402,LFQ_timsTOFPro_diaPASEF_Human_01.omg-binary,21.25 
LFQ_timsTOFPro_PASEF_Human_01.d,LFQ_timsTOFPro_PASEF_Human_01.omg-json,9423457431,7519477438,826.9146637,3795.255,195.3275391,0.017212681,0.377003449,7.003059087,826.9146637,LFQ_timsTOFPro_PASEF_Human_01.omg-json,8.78 
LFQ_timsTOFPro_PASEF_Human_01.d,LFQ_timsTOFPro_PASEF_Human_01.omg-yaml,9423457431,7485109880,824.7423735,,,,,6.971051805,824.7423735,LFQ_timsTOFPro_PASEF_Human_01.omg-yaml,8.78 
LFQ_timsTOFPro_PASEF_Human_01.d,LFQ_timsTOFPro_PASEF_Human_01.omg-binary,9423457431,5554114489,810.3803872,3839.1,75.54296875,0,1.468362181,5.172672206,810.3803872,LFQ_timsTOFPro_PASEF_Human_01.omg-binary,8.78 
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.omg-json,1541946608,300186294,21.7267301,,,,,0.279570272,21.7267301,LFQ_Orbitrap_AIF_Yeast_01.omg-json,1.44 
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.omg-yaml,1541946608,292611218,22.5528273,,,,,0.272515433,22.5528273,LFQ_Orbitrap_AIF_Yeast_01.omg-yaml,1.44 
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.omg-binary,1541946608,210421894,21.9269156,,,,,0.19597066,21.9269156,LFQ_Orbitrap_AIF_Yeast_01.omg-binary,1.44 
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.omg-json,3228500047,1161768362,135.9179621,,,,,1.081981102,135.9179621,LFQ_Orbitrap_DDA_Ecoli_01.omg-json,3.01 
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.omg-yaml,3228500047,1158399621,110.6763212,645.1333333,213.6536458,0,0.471238676,1.078843717,110.6763212,LFQ_Orbitrap_DDA_Ecoli_01.omg-yaml,3.01 
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.omg-binary,3228500047,864849840,110.9763125,,,,,0.80545418,110.9763125,LFQ_Orbitrap_DDA_Ecoli_01.omg-binary,3.01 
LFQ_TTOF5600_DDA_Yeast_01.wiff,LFQ_TTOF5600_DDA_Yeast_01.omg-json,384638132,424567380,49.9119975,,,,,0.395409185,49.9119975,LFQ_TTOF5600_DDA_Yeast_01.omg-json,0.36 
LFQ_TTOF5600_DDA_Yeast_01.wiff,LFQ_TTOF5600_DDA_Yeast_01.omg-yaml,384638132,423597746,48.2424213,,,,,0.394506143,48.2424213,LFQ_TTOF5600_DDA_Yeast_01.omg-yaml,0.36 
LFQ_TTOF5600_DDA_Yeast_01.wiff,LFQ_TTOF5600_DDA_Yeast_01.omg-binary,384638132,316522322,47.7587247,,,,,0.294784384,47.7587247,LFQ_TTOF5600_DDA_Yeast_01.omg-binary,0.36 
LFQ_TTOF5600_SWATH_Human_01.wiff,LFQ_TTOF5600_SWATH_Human_01.omg-json,2143886700,2459458481,229.254624,530.95,81.80957031,0.021284214,0.362378926,2.290549205,229.254624,LFQ_TTOF5600_SWATH_Human_01.omg-json,2.00 
LFQ_TTOF5600_SWATH_Human_01.wiff,LFQ_TTOF5600_SWATH_Human_01.omg-yaml,2143886700,2454157075,224.6201193,469.74,89.7390625,0,0.528337576,2.285611886,224.6201193,LFQ_TTOF5600_SWATH_Human_01.omg-yaml,2.00 
LFQ_TTOF5600_SWATH_Human_01.wiff,LFQ_TTOF5600_SWATH_Human_01.omg-binary,2143886700,1834136621,224.0584008,588.2,73.1484375,0,1.054340675,1.70817284,224.0584008,LFQ_TTOF5600_SWATH_Human_01.omg-binary,2.00 
LFQ_TTOF6600_DDA_Human_01.wiff,LFQ_TTOF6600_DDA_Human_01.omg-json,1170868128,1391671490,138.0806884,443.1666667,85.01432292,0.020146271,0.546975791,1.296095075,138.0806884,LFQ_TTOF6600_DDA_Human_01.omg-json,1.09 
LFQ_TTOF6600_DDA_Human_01.wiff,LFQ_TTOF6600_DDA_Human_01.omg-yaml,1170868128,1389503564,138.0336268,445.775,89.23925781,0,0.455566697,1.294076037,138.0336268,LFQ_TTOF6600_DDA_Human_01.omg-yaml,1.09 
LFQ_TTOF6600_DDA_Human_01.wiff,LFQ_TTOF6600_DDA_Human_01.omg-binary,1170868128,1039493600,139.2988225,446.45,84.55078125,0,0.347361051,0.968103856,139.2988225,LFQ_TTOF6600_DDA_Human_01.omg-binary,1.09 
LFQ_TTOF6600_ScanningSWATH_Human_01.wiff,LFQ_TTOF6600_ScanningSWATH_Human_01.omg-json,23417734532,36061406941,3408.996548,806.95,283.1259766,0.015572646,0.442134006,33.58480236,3408.996548,LFQ_TTOF6600_ScanningSWATH_Human_01.omg-json,21.81 
LFQ_TTOF6600_ScanningSWATH_Human_01.wiff,LFQ_TTOF6600_ScanningSWATH_Human_01.omg-yaml,23417734532,36026906680,3503.347875,1584,203.875,0.014709366,1.009492926,33.55267148,3503.347875,LFQ_TTOF6600_ScanningSWATH_Human_01.omg-yaml,21.81 
LFQ_TTOF6600_ScanningSWATH_Human_01.wiff,LFQ_TTOF6600_ScanningSWATH_Human_01.omg-binary,23417734532,26977618489,3196.38011,,,,,25.12486511,3196.38011,LFQ_TTOF6600_ScanningSWATH_Human_01.omg-binary,21.81 
LFQ_TTOF6600_SWATH_Human_01.wiff,LFQ_TTOF6600_SWATH_Human_01.omg-json,4656579856,6561628099,600.8768086,,,,,6.110992375,600.8768086,LFQ_TTOF6600_SWATH_Human_01.omg-json,4.34 
LFQ_TTOF6600_SWATH_Human_01.wiff,LFQ_TTOF6600_SWATH_Human_01.omg-yaml,4656579856,6554999003,610.3496468,355.1555556,160.1034433,0,0.379806215,6.104818548,610.3496468,LFQ_TTOF6600_SWATH_Human_01.omg-yaml,4.34 
LFQ_TTOF6600_SWATH_Human_01.wiff,LFQ_TTOF6600_SWATH_Human_01.omg-binary,4656579856,4908129522,590.8635511,579.2,103.5,0,1.119452456,4.571051823,590.8635511,LFQ_TTOF6600_SWATH_Human_01.omg-binary,4.34 
,,,,,,,,,,,,
,,,,,,,,,,,,
,"4,656,579,856",,,,,,,,,,,
,,,,,,,,,,,,
