in_file,out_file,in_size,out_size,converted_time,cpu,memory,read_speed,write_speed,,out_size,converted_time,out_file
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.mzML,1541946608,1869294290,134.9595635,198.775,1138.829102,0,0.416756102,,1.740915971,134.9595635,LFQ_Orbitrap_AIF_Yeast_01.mzML
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.mzXML,1541946608,836317374,71.0805913,290.2,888.859375,0,0.231080223,,0.77888125,71.0805913,LFQ_Orbitrap_AIF_Yeast_01.mzXML
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.mz5,1541946608,537834156,54.1830002,,,,,,0.500897091,54.1830002,LFQ_Orbitrap_AIF_Yeast_01.mz5
LFQ_Orbitrap_AIF_Yeast_01.raw,LFQ_Orbitrap_AIF_Yeast_01.mzMLb,1541946608,403668275,152.8502144,,,,,,0.375945377,152.8502144,LFQ_Orbitrap_AIF_Yeast_01.mzMLb
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.mzML,3228500047,4441643462,343.3076052,,,,,,4.136602825,343.3076052,LFQ_Orbitrap_DDA_Ecoli_01.mzML
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.mzXML,3228500047,4605703243,599.6513353,138.6,234.7890625,4.32E-07,0.191245359,,4.289395402,599.6513353,LFQ_Orbitrap_DDA_Ecoli_01.mzXML
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.mz5,3228500047,3073611078,187.3854224,194.4,1228.301897,6.17E-07,0.498949695,,2.862523383,187.3854224,LFQ_Orbitrap_DDA_Ecoli_01.mz5
LFQ_Orbitrap_DDA_Ecoli_01.raw,LFQ_Orbitrap_DDA_Ecoli_01.mzMLb,3228500047,2218214501,376.1175376,,,,,,2.06587324,376.1175376,LFQ_Orbitrap_DDA_Ecoli_01.mzMLb
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.mzML,131072,32722360275,6223.100397,,,,,,30.47507282,6223.100397,LFQ_timsTOFPro_diaPASEF_Human_01.mzML
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.mzXML,131072,35663852471,6156.621024,,,,,,33.2145509,6156.621024,LFQ_timsTOFPro_diaPASEF_Human_01.mzXML
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.mz5,131072,27032847991,1207.235722,382.2764706,435.431296,7.62E-08,0.615045548,,25.17630159,1207.235722,LFQ_timsTOFPro_diaPASEF_Human_01.mz5
LFQ_timsTOFPro_diaPASEF_Human_01.d,LFQ_timsTOFPro_diaPASEF_Human_01.mzMLb,131072,19846018621,3026.181598,248.7,169.2630208,4.32E-07,0.067308184,,18.48304516,3026.181598,LFQ_timsTOFPro_diaPASEF_Human_01.mzMLb
LFQ_timsTOFPro_PASEF_Human_01.d,LFQ_timsTOFPro_PASEF_Human_01.mzML,131072,17086969403,2874.468708,262.56,576.7476563,0.104293818,0.144192837,,15.91348034,2874.468708,LFQ_timsTOFPro_PASEF_Human_01.mzML
LFQ_timsTOFPro_PASEF_Human_01.d,LFQ_timsTOFPro_PASEF_Human_01.mzXML,131072,14725828881,2536.362525,238.4931034,602.0585938,5.96E-08,0.167098544,,13.71449687,2536.362525,LFQ_timsTOFPro_PASEF_Human_01.mzXML
LFQ_timsTOFPro_PASEF_Human_01.d,LFQ_timsTOFPro_PASEF_Human_01.mz5,131072,12967626936,682.3550118,390.7,3241.8125,1.30E-07,0.512035393,,12.0770437,682.3550118,LFQ_timsTOFPro_PASEF_Human_01.mz5
